widget_type,authored_uses,grade_reach,manipulation,error_model,shared_correct_checkpoint,post_verdict_controls_unlocked,ungraded_state_recheck,wrong_state_feedback,reversible_manipulation,authored_domain,exploration_decision,next_action
placeCompare,28,2,1,3,PASS,PASS,PASS,PASS,LIMITED,LIMITED_STATE_DOMAIN,REMEDIATE_ENGINE_PLAY,"Add reversible direct manipulation and verify at least one correct, below-target, and above-target or alternate-wrong state without changing grading evidence."
rationalCompare,28,2,1,1,PASS,PASS,PASS,PASS,LIMITED,LIMITED_STATE_DOMAIN,REMEDIATE_ENGINE_PLAY,"Add reversible direct manipulation and verify at least one correct, below-target, and above-target or alternate-wrong state without changing grading evidence."
pointEntry,18,4,0,1,PASS,PASS,PASS,PASS,ANSWER_ONLY,LIMITED_STATE_DOMAIN,REMEDIATE_ENGINE_PLAY,"Add reversible direct manipulation and verify at least one correct, below-target, and above-target or alternate-wrong state without changing grading evidence."
lengthCompare,66,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
placeValueTransformLab,60,4,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
baseTenCompose,56,4,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
proportionalReasoningLab,47,3,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
unitRuler,45,3,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
clockSet,40,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
unitCircleExplore,40,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
volumeBuilder,19,5,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
probabilityArea,15,5,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
subitizeFlash,18,2,0,1,PASS,PASS,PASS,PASS,ANSWER_ONLY,LIMITED_STATE_DOMAIN,REMEDIATE_ENGINE_PLAY,"Add reversible direct manipulation and verify at least one correct, below-target, and above-target or alternate-wrong state without changing grading evidence."
affineRelationshipLab,55,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
columnCalc,39,4,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
quotientReasoningLab,39,3,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
distributionCompareLab,33,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
sequenceBuild,30,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
expLogExplore,28,4,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
slider,28,4,2,3,PASS,PASS,PASS,PASS,SUPPORTED,PLACEMENT_RANGE_REVIEW,KEEP_WITH_EXPLORATION_REGRESSION,Verify each authored min/max leaves meaningful states on both sides of the target when the mathematical domain permits.
signChart,27,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
quadraticExplore,25,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
solveBalance,20,3,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
derivativeTrace,19,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
dilationExplore,18,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
algebraTiles,17,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
graphZoom,17,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
balanceScale,9,5,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
shapeFamilyBuilder,6,5,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
hundredthsGrid,36,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
graphRead,24,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
moneyBoard,19,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
shapeHierarchyLab,19,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
unitChain,19,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
oddEvenPairs,17,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
compositeAreaLab,15,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
conditionalTableLab,15,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
equationOutcomeLab,15,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
trialProbabilityLab,15,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
triangleSolve,15,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
dotPlot,13,4,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
circleMeasureExplore,11,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
ratioTable,11,4,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
scatterFit,11,3,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
secantSlope,11,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
functionMachine,10,4,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
distanceGrid,9,4,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
samplingBiasLab,7,4,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
angleMeasure,6,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
spinnerSim,6,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
netFold,5,3,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
treeDiagram,5,4,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
triangleAngleLab,4,3,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
graphStoryLab,14,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
pointSetReasoningLab,14,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
triangleConstraintLab,13,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
compassConstruct,12,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,REVIEW_EXISTING_DISPOSITION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
inversePipeline,11,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
shapeParts,11,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
binomialAreaLab,10,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
percentBar,10,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
slopeTriangle,10,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
percentChangeLab,9,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
signedFractionLab,9,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
transformExplore,9,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
vectorExplore,9,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
compoundEventLab,8,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
accumulateArea,7,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
argandExplore,7,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
mixedRegroup,7,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
quadDrag,7,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
solidSliceLab,7,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
lineExplore,6,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
scaledCircleLab,6,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
slopeField,6,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
systemsExplore,6,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,REVIEW_EXISTING_DISPOSITION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
boxPlot,5,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
circleAngleExplore,5,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
conicLocusLab,5,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
coordinateProofLab,5,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
evalOrder,5,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
sliceSum,5,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
derivativeRuleLab,4,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
fractionGrid,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
integerChips,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
matrixTransform,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,REVIEW_EXISTING_DISPOSITION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
polarTrace,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
riemannSum,4,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
absValueLine,3,1,1,3,PASS,PASS,PASS,PASS,LIMITED,LIMITED_STATE_DOMAIN,REMEDIATE_ENGINE_PLAY,"Add reversible direct manipulation and verify at least one correct, below-target, and above-target or alternate-wrong state without changing grading evidence."
covariationScrubber,3,3,3,1,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
fractionCompare,3,1,1,3,PASS,PASS,PASS,PASS,LIMITED,LIMITED_STATE_DOMAIN,REMEDIATE_ENGINE_PLAY,"Add reversible direct manipulation and verify at least one correct, below-target, and above-target or alternate-wrong state without changing grading evidence."
doubleNumberLine,3,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
lineRelationLab,3,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
numberLineRay,3,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
placeValue,3,2,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
relatedRatesLab,3,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
sampleSim,3,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
taylorApprox,3,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
extraneousRootLab,2,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
rotationLab,2,1,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
shuffleTest,2,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
verticalLineScanner,2,2,3,3,PASS,PASS,PASS,PASS,STRONG,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
ciCapture,1,1,2,3,PASS,PASS,PASS,PASS,SUPPORTED,MULTI_STATE_DOMAIN,KEEP_WITH_EXPLORATION_REGRESSION,Retain the shared checkpoint contract and cover representative post-verdict state changes in regression tests.
